word,confidence,Minx,Miny,Maxx,Maxy,MeanX,Meany
PRIDE,95.80626678466797,743,162,938,202,840,182
AND,95.96634674072266,982,162,1119,201,1050,182
PREJUDICE.,90.48418426513672,1165,160,1534,215,1350,188
3,96.52848815917969,2027,163,2055,218,2041,190
“What,95.192596435546875,287,292,513,343,400,318
is,95.96018981933594,542,291,587,343,564,317
his,96.94072723388672,617,290,704,342,660,316
name?”,92.115478515625,735,289,984,343,860,316
“,91.21057891845703,288,387,314,409,301,398
Bingley.”,95.80695343017578,337,381,627,451,482,416
“Ts,92.004302978515625,288,474,392,525,340,500
he,95.3990249633789,421,471,493,525,457,498
married,96.15656280517578,524,470,768,524,646,497
or,96.92481231689453,797,489,862,523,830,506
single?”,95.979736328125,889,469,1157,540,1023,504
"“Oh,",86.26069641113281,287,561,445,626,366,594
"single,",96.65592193603516,483,561,682,631,582,596
my,96.57774353027344,724,579,824,631,774,605
"dear,",96.797760009765625,864,560,1013,625,938,592
to,95.8886489868164,1051,569,1111,612,1081,590
be,95.40794372558594,1153,559,1225,612,1189,586
sure!,95.40794372558594,1266,560,1426,613,1346,586
A,95.31989288330078,1497,558,1552,611,1524,584
single,95.11811828613281,1596,558,1779,629,1688,594
man,95.9880599975586,1822,577,1956,611,1889,594
of,96.756378173828125,2000,560,2065,611,2032,586
large,96.62291717529297,212,654,367,722,290,688
fortune,88.942047119140625,395,651,622,704,508,678
;,88.942047119140625,645,669,656,717,650,693
four,96.71489715576172,698,650,824,703,761,676
or,95.26850891113281,852,668,916,703,884,686
five,95.26850891113281,943,650,1050,703,996,676
thousand,96.30205535888672,1079,648,1369,702,1224,675
a,96.71240234375,1398,667,1431,702,1414,684
year.,91.2123794555664,1459,666,1611,720,1535,693
What,96.153778076171875,1676,648,1855,702,1766,675
a,95.89532470703125,1885,667,1917,701,1901,684
fine,96.49226379394531,1947,648,2057,701,2002,674
thing,96.5521011352539,212,744,377,811,294,778
for,96.5960693359375,406,742,492,794,449,768
our,96.59376525878906,519,759,623,794,571,776
girls!”,95.45523834228516,650,741,864,810,757,776
“,92.0302734375,286,836,312,859,299,848
How,96.34418487548828,337,833,488,884,412,858
so?,96.403228759765625,517,836,621,884,569,860
how,96.8119888305664,662,832,790,884,726,858
can,94.4994125366211,820,848,925,883,872,866
it,96.57770538330078,956,830,999,882,978,856
affect,96.4327621459961,1028,827,1199,882,1114,854
them?”,62.40568161010742,1227,829,1472,882,1350,856
“My,92.87567138671875,286,922,441,990,364,956
dear,96.3018569946289,469,919,607,973,538,946
Mr.,96.58491516113281,636,921,742,974,689,948
"Bennet,”",95.83306884765625,774,918,1043,983,908,950
replied,96.56568908691406,1074,917,1289,988,1182,952
his,96.91315460205078,1319,917,1407,970,1363,944
"wife,",94.96479034423828,1430,917,1572,982,1501,950
“how,94.96479034423828,1601,917,1775,970,1688,944
can,96.2375717163086,1806,934,1911,970,1858,952
you,96.568328857421875,1941,935,2055,986,1998,960
be,95.66792297363281,212,1012,282,1066,247,1039
so,96.80046844482422,310,1030,374,1065,342,1048
tiresome?,94.9292984008789,402,1011,710,1064,556,1038
You,95.8592758178711,777,1009,910,1064,844,1036
must,95.96031951904297,951,1017,1105,1062,1028,1040
know,96.61103057861328,1143,1008,1314,1062,1228,1035
that,96.02098846435547,1343,1008,1470,1062,1406,1035
I,96.02098846435547,1512,1008,1534,1061,1523,1034
am,96.27936553955078,1576,1025,1669,1061,1622,1043
thinking,96.27936553955078,1700,1007,1971,1079,1836,1043
of,96.62828063964844,2000,1007,2065,1061,2032,1034
his,96.99698638916016,211,1102,298,1154,254,1128
marrying,96.82926940917969,330,1101,623,1171,476,1136
one,96.48272705078125,651,1118,759,1153,705,1136
of,96.371612548828125,788,1099,855,1153,822,1126
them.”,96.371612548828125,876,1099,1079,1152,978,1126
“Ts,95.35286712646484,287,1193,391,1244,339,1218
that,95.4815444946289,420,1192,547,1244,484,1218
his,95.78382873535156,575,1191,663,1243,619,1217
design,96.36247253417969,692,1190,894,1259,793,1224
in,96.68696594238281,926,1191,981,1241,954,1216
settling,95.592864990234375,1012,1189,1249,1258,1130,1224
here?”,93.929290771484375,1276,1188,1493,1241,1384,1214
“Design?,75.948150634765625,287,1281,598,1350,442,1316
"nonsense,",96.17450714111328,639,1297,940,1344,790,1320
how,96.17450714111328,977,1280,1105,1331,1041,1306
can,96.3663101196289,1144,1296,1250,1331,1197,1314
you,96.7677230834961,1292,1296,1407,1347,1350,1322
talk,95.28749084472656,1450,1278,1571,1331,1510,1304
so!,95.07369232177734,1613,1277,1708,1331,1660,1304
But,95.07369232177734,1779,1279,1893,1331,1836,1305
it,96.67901611328125,1932,1279,1974,1331,1953,1305
is,95.752960205078125,2014,1280,2057,1330,2036,1305
very,96.79241943359375,211,1389,349,1441,280,1415
likely,96.33220672607422,377,1371,556,1440,466,1406
that,96.33220672607422,577,1371,702,1423,640,1397
he,96.545318603515625,731,1370,801,1423,766,1396
say,56.361785888671875,832,1388,962,1437,897,1412
fall,96.402557373046875,990,1368,1084,1422,1037,1395
in,96.21687316894531,1118,1370,1173,1419,1146,1394
love,95.72099304199219,1205,1368,1330,1421,1268,1394
with,96.7673568725586,1354,1368,1489,1421,1422,1394
one,96.39996337890625,1520,1386,1630,1421,1575,1404
of,95.86026763916016,1659,1367,1724,1421,1692,1394
"them,",95.8765640258789,1744,1367,1919,1432,1832,1400
and,96.59197235107422,1943,1368,2056,1421,2000,1394
therefore,96.38023376464844,211,1461,492,1516,352,1488
you,96.60191345214844,520,1479,635,1530,578,1504
must,95.6238021850586,667,1468,820,1513,744,1490
visit,96.39794921875,848,1459,980,1512,914,1486
him,96.39124298095703,1009,1459,1126,1511,1068,1485
as,96.70919036865234,1157,1477,1220,1510,1188,1494
soon,96.47894287109375,1249,1476,1390,1510,1320,1493
as,95.908050537109375,1421,1476,1483,1509,1452,1492
he,95.908050537109375,1512,1457,1583,1510,1548,1484
comes.”,96.4697265625,1613,1458,1851,1510,1732,1484
