word,confidence,Minx,Miny,Maxx,Maxy,MeanX,Meany
Rts.,3.5282058715820312,2296,610,2430,655,2363,632
EX.,86.2297592163086,1953,591,2073,697,2013,644
“he,51.921905517578125,2243,638,2361,813,2302,726
*,82.24614715576172,2338,742,2362,763,2350,752
ioe,32.92256164550781,2421,759,2589,832,2505,796
2,30.30077362060547,1178,658,1224,663,1201,660
YWD,1.05572509765625,1398,629,1972,920,1685,774
2,50.128692626953125,2043,678,2146,838,2094,758
Ws,44.38050079345703,2298,730,2613,924,2456,827
9,90.998016357421875,2061,985,2130,1049,2096,1017
BEE,39.436744689941406,2211,961,2727,1140,2469,1050
Gf,63.45964813232422,464,717,549,884,506,800
J,50.581329345703125,826,723,953,932,890,828
7,28.88426971435547,2025,1050,2125,1120,2075,1085
GEE,32.08380889892578,2187,1026,2452,1187,2320,1106
ee,32.31243896484375,2613,1104,2718,1237,2666,1170
°,8.811836242675781,392,823,425,857,408,840
!,8.005104064941406,1467,1020,1471,1026,1469,1023
‘,0,2011,1117,2061,1199,2036,1158
GSES,35.925384521484375,2105,1091,2492,1229,2298,1160
COE,35.64152526855469,2512,1197,2744,1289,2628,1243
FES,21.518455505371094,2045,1192,2231,1240,2138,1216
ree:,11.702262878417969,2521,1253,2734,1334,2628,1294
AP,32.428367614746094,587,871,735,1166,661,1018
Sy,14.869049072265625,1911,1189,2532,1410,2222,1300
ae,26.50202178955078,1844,1241,1906,1261,1875,1251
wre,41.4345703125,1971,1240,2080,1303,2026,1272
=,49.87842559814453,2133,1289,2138,1295,2136,1292
so,0,2368,1306,2433,1331,2400,1318
/,51.4561882019043,2444,1302,2505,1353,2474,1328
FJ,34.19898223876953,2578,1354,2581,1358,2580,1356
fy,52.87260055541992,2652,1356,2697,1384,2674,1370
reg,22.099899291992188,1795,1241,1835,1301,1815,1271
Ck,25.6214599609375,1939,1299,2043,1324,1991,1312
oe,42.06584930419922,2158,1312,2267,1359,2212,1336
"MY,",0,2476,1303,2552,1454,2514,1378
>,56.34685134887695,298,1050,337,1079,318,1064
6,31.4638671875,621,997,722,1189,672,1093
Yh,0,762,973,817,1193,790,1083
Ze,46.68286895751953,1649,1209,1751,1336,1700,1272
EF,46.89556121826172,1832,1298,2171,1411,2002,1354
2.,3.3621673583984375,2280,1372,2340,1443,2310,1408
Wd,33.23743438720703,2469,1363,2653,1520,2561,1442
f,79.1322021484375,2692,1460,2703,1494,2698,1477
=,95.08734130859375,305,1123,322,1127,314,1125
",",0,1173,1281,1180,1288,1176,1284
:,16.267791748046875,1268,1319,1270,1322,1269,1320
————,15.493759155273438,1275,1271,1474,1339,1374,1305
7,19.16985321044922,1582,1339,1618,1379,1600,1359
er,41.32529830932617,1668,1336,1727,1399,1698,1368
a:,26.7010498046875,1726,1336,1813,1399,1770,1368
cc,0,1831,1364,1860,1408,1846,1386
“Md,27.573516845703125,2014,1411,2116,1451,2065,1431
fa,76.33052062988281,2137,1423,2146,1438,2142,1430
4,61.64088821411133,2252,1475,2267,1483,2260,1479
Y,0,2497,1495,2510,1513,2504,1504
A.,11.433250427246094,2586,1503,2607,1541,2596,1522
%,0,333,1137,398,1255,366,1196
1,41.90380096435547,786,1272,796,1287,791,1280
Oe,31.57275390625,903,1267,1023,1306,963,1286
es,29.964874267578125,1237,1318,1546,1404,1392,1361
ELI,42.81932830810547,1590,1386,2078,1496,1834,1441
ETS,65.1834945678711,2112,1466,2413,1537,2262,1502
ae,11.509521484375,2479,1511,2692,1650,2586,1580
(Se,29.1107177734375,492,1320,567,1358,530,1339
-,0,835,1406,851,1415,843,1410
~,35.67786407470703,1151,1456,1174,1470,1162,1463
=,89.580535888671875,1248,1470,1301,1483,1274,1476
"EEL,",36.000022888183594,1365,1456,1575,1549,1470,1502
LEE,51.29932403564453,1536,1491,1645,1550,1590,1520
eh,20.052330017089844,1846,1547,1916,1579,1881,1563
NL,0,1981,1556,2002,1597,1992,1576
——,45.123878479003906,2315,1662,2397,1674,2356,1668
Y,6.4910430908203125,2608,1670,2637,1717,2622,1694
e,0,570,1394,649,1433,610,1414
SZ,40.898555755615234,854,1390,1378,1553,1116,1472
yee,39.01422882080078,1463,1535,1570,1598,1516,1566
CZ,54.708770751953125,1577,1538,1778,1659,1678,1598
a,39.46435546875,2049,1581,2284,1682,2166,1632
CABZEE,39.697105407714844,584,1460,1336,1641,960,1550
(Bees,36.438011169433594,1396,1599,1733,1713,1564,1656
F,0,1838,1671,1888,1739,1863,1705
),25.63519287109375,2113,1758,2117,1761,2115,1760
Yr,49.129310607910156,2479,1773,2532,1877,2506,1825
I.,73.667266845703125,2580,1737,2705,1903,2642,1820
FRE,37.7557373046875,595,1530,1349,1683,972,1606
ps,23.904502868652344,1415,1674,1499,1705,1457,1690
BFL),10.839584350585938,1533,1687,1830,1759,1682,1723
oy,28.507957458496094,1977,1747,2041,1786,2009,1766
NCE,40.230491638183594,317,1512,856,1689,586,1600
3,52.50633239746094,962,1627,964,1629,963,1628
LET,22.667098999023438,1014,1635,1254,1743,1134,1689
ROS,28.193443298339844,1470,1639,1891,1857,1680,1748
CC,70.04765319824219,2072,1782,2205,1927,2138,1854
Se,55.43968200683594,271,1590,986,1788,628,1689
G&,19.164749145507812,1340,1725,1493,1861,1416,1793
S),3.3198928833007812,1682,1830,1887,1989,1784,1910
|,77.03814697265625,1928,1904,1934,1949,1931,1926
=e,46.53117370605469,274,1677,556,1768,415,1722
t,2.2667388916015625,630,1721,657,1774,644,1748
=,52.106689453125,677,1735,724,1804,700,1770
AEE,39.79209899902344,839,1751,1110,1868,974,1810
eee,27.05133056640625,1129,1816,1430,1932,1280,1874
"a,",52.2225227355957,1724,1933,1852,1973,1788,1953
i,68.62257385253906,2701,2103,2719,2116,2710,2110
—,67.32176208496094,289,1733,374,1746,332,1740
ge,41.552490234375,426,1746,475,1786,450,1766
.,0,690,1808,695,1810,692,1809
ia,4.358055114746094,818,1837,867,1870,842,1854
Mp,48.12840270996094,1055,1845,1100,1905,1078,1875
f,56.423587799072266,1288,1901,1304,1936,1296,1918
£,30.320587158203125,1345,1917,1363,1945,1354,1931
11-,72.8300552368164,2668,2128,2752,2175,2710,2152
ene,36.64383316040039,458,1739,1283,1999,870,1869
7.,43.82160568237305,1339,1969,1414,2049,1376,2009
(ONY,33.5467529296875,1415,1965,1590,2057,1502,2011
/,72.22747802734375,1665,1973,1723,2047,1694,2010
ae,29.29198455810547,1705,1957,1856,2100,1780,2028
is,75.36942291259766,2034,2103,2086,2136,2060,2120
a,75.36942291259766,2179,2127,2217,2171,2198,2149
truth,88.90824890136719,2296,2105,2506,2175,2401,2140
u,77.1134262084961,2590,2128,2661,2175,2626,2152
Ss,13.136833190917969,259,1810,710,1933,484,1872
As,39.035091400146484,843,1909,899,2020,871,1964
"ZH,",23.845962524414062,944,1946,1406,2068,1175,2007
&,55.49960708618164,1424,1989,1498,2069,1461,2029
=,52.57881164550781,1534,2051,1662,2097,1598,2074
\,85.289825439453125,1777,2051,1821,2176,1799,2114
mS,50.607601165771484,2031,2129,2196,2171,2114,2150
know-,91.83252716064453,2501,2224,2758,2294,2630,2259
p,29.236175537109375,288,1918,328,2017,308,1968
WFAA;,35.68092346191406,366,1904,750,2077,558,1990
4,38.474205017089844,804,2033,813,2045,808,2039
nt,1.7590408325195312,869,2061,927,2092,898,2076
aS,0,903,2043,951,2100,927,2072
i,23.029624938964844,1032,2085,1088,2129,1060,2107
A,54.41362380981445,1228,2095,1488,2209,1358,2152
——,0,1527,2155,1580,2199,1554,2177
Vers,69.806060791015625,2034,2243,2195,2295,2114,2269
-,28.408218383789062,2310,2304,2326,2315,2318,2310
},85.2393798828125,2593,2368,2616,2412,2604,2390
in,89.68473052978516,2687,2368,2756,2414,2722,2391
a,0,282,2005,460,2060,371,2032
ae,36.80656814575195,498,2024,626,2100,562,2062
EP,23.84954833984375,665,2057,738,2123,702,2090
ZG,12.602218627929688,797,2092,984,2159,890,2126
atl,57.299903869628906,1016,2120,1109,2175,1062,2148
AV,78.13507080078125,1120,2116,1219,2224,1170,2170
INES,63.8090934753418,1237,2180,1331,2217,1284,2198
incle,84.55155181884766,2177,2344,2376,2384,2276,2364
mat,78.988861083984375,2439,2368,2586,2412,2512,2390
"/,",27.013038635253906,266,2029,361,2079,314,2054
=,32.52447509765625,461,2077,550,2105,506,2091
tt,51.09679412841797,611,2087,676,2165,644,2126
Fad)’,44.25421905517578,742,2115,875,2176,808,2146
Ae,0.43117523193359375,949,2153,1018,2209,984,2181
=,0,1078,2197,1086,2205,1082,2201
a,39.1837158203125,1087,2170,1107,2225,1097,2198
2,92.9137191772461,1253,2232,1273,2239,1263,2236
single,75.66453552246094,2134,2340,2370,2422,2252,2381
ASH,44.32258605957031,242,2069,604,2176,423,2122
ZANT,25.736007690429688,623,2143,876,2225,750,2184
STARS,0,971,2209,1248,2283,1110,2246
hat,96.4205322265625,1835,2344,1970,2412,1902,2378
a,96.09569549560547,2025,2366,2066,2411,2046,2388
sing,96.09569549560547,2133,2400,2298,2434,2216,2417
ortune,38.36918258666992,2475,2464,2759,2535,2617,2500
a,25.86297607421875,373,2149,595,2185,484,2167
ee,37.74024200439453,611,2131,677,2219,644,2175
2,25.909225463867188,733,2196,871,2246,802,2221
WS,2.7790451049804688,1163,2248,1208,2314,1186,2281
d,92.36488342285156,1673,2346,1720,2414,1696,2380
the,80.11579132080078,1803,2355,1911,2421,1857,2388
J,44.25869369506836,2362,2466,2389,2533,2376,2500
tor,85.08467864990234,2459,2474,2569,2534,2514,2504
a,11.28363037109375,317,2156,425,2236,371,2196
(BEL,50.52588653564453,487,2189,657,2272,572,2230
Pe,0,753,2232,768,2291,760,2262
uh,52.168670654296875,816,2243,875,2308,846,2276
ASS,40.54359817504883,933,2258,1224,2372,1078,2315
"""",0,1301,2330,1321,2376,1311,2353
ledge,96.3081283569336,1444,2344,1665,2436,1554,2390
’,35.03264617919922,1729,2402,1741,2430,1735,2416
f,69.39149475097656,1999,2462,2030,2531,2014,2496
a,73.6148910522461,2082,2489,2121,2531,2102,2510
FOO,0,2187,2487,2370,2554,2278,2520
:,0,2498,2585,2516,2593,2507,2589
Z,85.13377380371094,242,2209,292,2280,267,2244
Sa,11.629348754882812,317,2191,704,2396,510,2294
nee,29.103363037109375,848,2312,995,2404,922,2358
Ss,29.103363037109375,1020,2334,1139,2431,1080,2382
~~,13.106155395507812,1219,2430,1262,2442,1240,2436
ssession,90.03620147705078,1561,2466,1879,2534,1720,2500
',0,1943,2487,1987,2533,1965,2510
.,0,2252,2582,2271,2593,2262,2588
aq,61.19090270996094,2309,2589,2327,2657,2318,2623
wife.,84.12488555908203,2383,2586,2567,2654,2475,2620
"(mth,",19.01256561279297,247,2290,556,2407,402,2348
Ff,35.113914489746094,584,2340,686,2386,635,2363
Let,20.188369750976562,742,2371,913,2451,828,2411
WS,37.8635368347168,1014,2422,1212,2494,1113,2458
Ay,46.483734130859375,1238,2446,1277,2502,1258,2474
pOzSt,0,1444,2490,1616,2558,1530,2524
In,83.12286376953125,1828,2587,1840,2597,1834,2592
Want,84.59569549560547,1941,2602,2144,2654,2042,2628
Of,78.84443664550781,2184,2591,2255,2653,2220,2622
¢,75.47330474853516,2302,2630,2318,2653,2310,2642
the,96.979705810546875,2635,2706,2762,2776,2698,2741
iy,39.889366149902344,249,2350,265,2419,257,2384
/,63.045265197753906,277,2346,290,2423,284,2384
VET,0,334,2364,457,2438,396,2401
s,0,492,2383,536,2464,514,2424
4,28.76397705078125,633,2415,687,2489,660,2452
A,64.80353546142578,720,2479,740,2490,730,2484
"Mee,",25.921546936035156,762,2446,956,2529,859,2488
AS,21.768722534179688,1002,2479,1110,2546,1056,2512
\,91.94831848144531,1150,2510,1172,2563,1161,2536
ao,37.16701126098633,1218,2505,1262,2545,1240,2525
.,0,1304,2550,1312,2558,1308,2554
tiet,0,1527,2605,1645,2655,1586,2630
be,96.79631805419922,1690,2586,1783,2655,1736,2620
111,71.520416259765625,1824,2610,1894,2654,1859,2632
.,66.74237060546875,2041,2706,2053,2716,2047,2711
l,40.423892974853516,2134,2704,2152,2772,2143,2738
known,93.83646392822266,2278,2704,2553,2772,2416,2738
ei,43.238250732421875,249,2419,417,2505,333,2462
[FA,62.842323303222656,447,2456,536,2502,492,2479
(AAS,15.325126647949219,576,2478,768,2562,672,2520
Vay,38.966636657714844,796,2495,1089,2667,942,2581
*,0,1172,2570,1230,2654,1201,2612
RTT,30.546669006347656,1446,2610,1518,2655,1482,2632
‘ever,82.351593017578125,1737,2730,1931,2776,1834,2753
little,88.44908142089844,2007,2705,2200,2774,2104,2740
-,0,2367,2824,2386,2832,2376,2828
such,38.746280670166016,2481,2825,2651,2893,2566,2859
a,93.95391082763672,2716,2849,2758,2893,2737,2871
UM,41.44810104370117,255,2561,355,2658,305,2610
Ok,34.27008056640625,433,2593,599,2678,516,2636
